"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 06 19:24:04 GMT 2024","Mon May 06 19:24:08 GMT 2024","4147","","tests.RegistrationFormPageObjectTests","","tests.RegistrationFormPageObjectTests","fullSuccessfulTest","fullSuccessfulTest()",""
"passed","Mon May 06 19:23:55 GMT 2024","Mon May 06 19:23:56 GMT 2024","835","","tests.ParametrizedTests","","tests.ParametrizedTests","checkingBa","Проверка текста баннера на различных локалях Проверка текста Un business internazionale, creato in Siberia на локали it",""
"passed","Mon May 06 19:23:49 GMT 2024","Mon May 06 19:23:50 GMT 2024","961","","tests.ParametrizedTests","","tests.ParametrizedTests","correctHeadlinesShouldBeVisible","correctHeadlinesShouldBeVisible(Language, List) Проверка на локали IT заголовков [Prodotti, Profilo dell’Azienda, Business, Acquisto vantaggioso]",""
"passed","Mon May 06 19:23:58 GMT 2024","Mon May 06 19:23:59 GMT 2024","1026","","tests.ParametrizedTests","","tests.ParametrizedTests","selectedCurrencyShouldBeDisplayedOnCurrencyButton","selectedCurrencyShouldBeDisplayedOnCurrencyButton(Language) Проверка лого на локали EN",""
"passed","Mon May 06 19:23:56 GMT 2024","Mon May 06 19:23:57 GMT 2024","1054","","tests.ParametrizedTests","","tests.ParametrizedTests","checkingBa","Проверка текста баннера на различных локалях Проверка текста International business, born in Siberia на локали en",""
"passed","Mon May 06 19:23:44 GMT 2024","Mon May 06 19:23:49 GMT 2024","5148","","tests.ParametrizedTests","","tests.ParametrizedTests","correctHeadlinesShouldBeVisible","correctHeadlinesShouldBeVisible(Language, List) Проверка на локали EN заголовков [Products, About the Company, Business, Buy & save]",""
"passed","Mon May 06 19:23:57 GMT 2024","Mon May 06 19:23:58 GMT 2024","958","","tests.ParametrizedTests","","tests.ParametrizedTests","checkingBa","Проверка текста баннера на различных локалях Проверка текста Negocio internacional, nacido en Siberia на локали es",""
"passed","Mon May 06 19:24:21 GMT 2024","Mon May 06 19:24:33 GMT 2024","12080","","tests.RegistrationFormPageObjectTests","","tests.RegistrationFormPageObjectTests","negativeWithoutLastNameTest","negativeWithoutLastNameTest()",""
"passed","Mon May 06 19:24:46 GMT 2024","Mon May 06 19:25:00 GMT 2024","14722","","tests.TextBoxPageObjectTest","","tests.TextBoxPageObjectTest","fullSuccessfulTest","fullSuccessfulTest()",""
"passed","Mon May 06 19:24:33 GMT 2024","Mon May 06 19:24:46 GMT 2024","12537","","tests.RegistrationFormPageObjectTests","","tests.RegistrationFormPageObjectTests","negativeWithoutNumberTest","negativeWithoutNumberTest()",""
"failed","Mon May 06 19:23:50 GMT 2024","Mon May 06 19:23:55 GMT 2024","4380","","tests.ParametrizedTests","","tests.ParametrizedTests","correctHeadlinesShouldBeVisible","correctHeadlinesShouldBeVisible(Language, List) Проверка на локали ES заголовков [Productos, Sobre la Compañía, Negocio, Compra rentable]",""
"passed","Mon May 06 19:23:59 GMT 2024","Mon May 06 19:24:00 GMT 2024","784","","tests.ParametrizedTests","","tests.ParametrizedTests","selectedCurrencyShouldBeDisplayedOnCurrencyButton","selectedCurrencyShouldBeDisplayedOnCurrencyButton(Language) Проверка лого на локали IT",""
"failed","Mon May 06 19:24:00 GMT 2024","Mon May 06 19:24:04 GMT 2024","4338","","tests.ParametrizedTests","","tests.ParametrizedTests","selectedCurrencyShouldBeDisplayedOnCurrencyButton","selectedCurrencyShouldBeDisplayedOnCurrencyButton(Language) Проверка лого на локали ES",""
"passed","Mon May 06 19:24:08 GMT 2024","Mon May 06 19:24:21 GMT 2024","12558","","tests.RegistrationFormPageObjectTests","","tests.RegistrationFormPageObjectTests","minSuccessfulTest","minSuccessfulTest()",""
